date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-07-05,3875.37,3900.31,3893.2,3857.93,740065.25,20.1,0.52,3906.562,3863.013,3784.618,1151150.44,1071638.53,1108297.92
2019-07-04,3895.2,3906.89,3873.1,3854.69,993422.56,-20.43,-0.53,3893.04,3857.087,3768.192,1172669.66,1151267.16,1114061.86
2019-07-03,3927.44,3927.44,3893.53,3878.84,1119926.0,-43.64,-1.11,3885.384,3852.629,3754.393,1184617.88,1220796.98,1108711.74
2019-07-02,3931.05,3942.43,3937.17,3918.94,1318635.0,1.36,0.04,3865.544,3834.87,3739.64,1124273.24,1234400.09,1096263.99
2019-07-01,3899.33,3936.67,3935.81,3886.91,1583703.38,110.22,2.88,3838.372,3807.915,3724.382,1108698.06,1173228.86,1080693.83
2019-06-28,3832.06,3835.23,3825.59,3803.05,847661.38,-9.23,-0.24,3819.464,3779.816,3709.081,992126.62,1087835.19,1046119.8
2019-06-27,3807.54,3854.08,3834.82,3805.83,1053163.62,40.49,1.07,3821.134,3762.745,3699.86,1129864.65,1104886.06,1050838.01
2019-06-26,3779.51,3809.76,3794.33,3771.72,818202.81,-6.98,-0.18,3819.874,3747.802,3691.315,1256976.07,1095901.42,1044857.55
2019-06-25,3837.43,3838.06,3801.31,3755.01,1240759.12,-39.96,-1.04,3804.196,3737.479,3685.211,1344526.94,1133259.99,1062890.53
2019-06-24,3836.31,3853.55,3841.27,3819.77,1000846.19,7.33,0.19,3777.458,3729.276,3677.006,1237759.65,1152666.88,1055268.01
2019-06-21,3832.73,3856.09,3833.94,3817.31,1536351.5,5.42,0.14,3740.168,3706.223,3664.638,1183543.76,1144957.32,1045692.73
2019-06-20,3718.94,3845.79,3828.52,3717.19,1688720.75,112.58,3.03,3704.356,3679.297,3652.139,1079907.47,1076856.57,1018824.04
2019-06-19,3761.34,3771.35,3715.94,3715.13,1255957.12,48.32,1.32,3675.73,3656.156,3643.182,934826.76,996626.51,983561.07
2019-06-18,3661.13,3675.65,3667.62,3638.78,706922.69,12.8,0.35,3670.762,3644.409,3640.724,921993.04,958127.89,976274.67
2019-06-17,3654.44,3683.77,3654.82,3645.5,729766.75,-0.06,-0.0,3681.094,3640.848,3638.232,1067574.1,988158.81,995410.28
2019-06-14,3690.48,3709.65,3654.88,3650.91,1018170.06,-30.51,-0.83,3672.278,3638.345,3637.929,1106370.87,1004404.4,1023148.56
2019-06-13,3689.58,3697.59,3685.39,3654.27,963317.19,-5.71,-0.15,3654.238,3636.975,3642.383,1073805.66,996789.96,1030369.2
2019-06-12,3706.86,3711.88,3691.1,3683.94,1191788.5,-28.18,-0.76,3636.582,3634.827,3644.468,1058426.26,993813.68,1037284.23
2019-06-11,3617.52,3723.14,3719.28,3617.52,1434828.0,108.54,3.01,3618.056,3632.943,3642.171,994262.75,992521.07,1028851.53
2019-06-10,3578.01,3623.73,3610.74,3568.28,923750.62,46.06,1.29,3600.602,3624.735,3639.643,908743.51,957869.14,1008806.06
2019-06-06,3601.04,3601.04,3564.68,3557.02,855344.0,-32.43,-0.9,3604.412,3623.052,3645.629,902437.93,946428.13,1036620.46
2019-06-05,3627.79,3634.45,3597.11,3593.95,886420.19,-1.36,-0.04,3619.712,3624.98,3647.38,919774.25,960791.51,1044371.95
2019-06-04,3632.56,3636.13,3598.47,3584.46,870970.94,-33.54,-0.92,3633.072,3630.207,3650.897,929201.1,970495.62,1056484.62
2019-06-03,3640.61,3672.81,3632.01,3613.13,1007231.81,2.22,0.06,3647.83,3637.038,3657.007,990779.39,994421.45,1079359.9
2019-05-31,3641.0,3668.18,3629.79,3627.54,892222.69,-11.39,-0.31,3648.868,3635.616,3659.638,1006994.78,1002661.74,1127734.75
2019-05-30,3648.85,3650.97,3641.18,3612.62,942025.62,-22.73,-0.62,3641.692,3637.513,3673.809,990418.34,1041892.73,1141240.3
2019-05-29,3642.54,3693.23,3663.91,3637.35,933554.44,-8.35,-0.23,3630.248,3647.791,3686.766,1001808.78,1063948.44,1171074.48
2019-05-28,3633.02,3683.23,3672.26,3627.79,1178862.38,35.06,0.96,3627.342,3654.109,3698.034,1011790.14,1080754.77,1195400.79
2019-05-27,3592.6,3648.03,3637.2,3556.26,1088308.75,43.29,1.21,3626.246,3651.398,3711.512,998063.51,1065181.99,1216318.71
2019-05-24,3584.9,3623.39,3593.91,3580.79,809340.5,9.95,0.28,3622.364,3654.551,3731.157,998328.71,1059742.98,1234652.62
2019-05-23,3629.53,3631.47,3583.96,3578.11,998977.81,-65.42,-1.79,3633.334,3668.205,3752.412,1093367.11,1126812.78,1271991.42
2019-05-22,3663.15,3679.27,3649.38,3634.75,983461.25,-17.4,-0.47,3665.334,3669.779,3774.494,1126088.1,1127952.39,1316719.41
2019-05-21,3619.44,3690.09,3666.78,3610.68,1110229.25,48.99,1.35,3680.876,3671.587,3798.056,1149719.4,1142473.62,1342943.8
2019-05-20,3635.74,3644.5,3617.79,3583.83,1089634.75,-30.97,-0.85,3676.55,3676.976,3818.321,1132300.47,1164298.34,1360713.4
2019-05-17,3744.88,3745.36,3648.76,3637.58,1284532.5,-95.2,-2.54,3686.738,3683.659,3841.793,1121157.25,1252807.76,1396415.22
2019-05-16,3720.04,3745.14,3743.96,3707.9,1162582.75,16.87,0.45,3703.076,3710.104,3863.645,1160258.45,1240587.88,1433209.58
2019-05-15,3674.99,3741.04,3727.09,3674.99,1101617.75,81.94,2.25,3674.224,3725.741,3875.223,1129816.69,1278200.53,1466403.23
2019-05-14,3630.44,3683.26,3645.15,3630.44,1023134.62,-23.58,-0.64,3662.298,3741.959,3888.299,1135227.84,1310046.82,1479253.4
